season,team,conference,firstDowns,firstDownsOpponent,fourthDownConversions,fourthDownConversionsOpponent,fourthDowns,fourthDownsOpponent,fumblesLost,fumblesLostOpponent,fumblesRecovered,fumblesRecoveredOpponent,games,interceptionTDs,interceptionTDsOpponent,interceptionYards,interceptionYardsOpponent,interceptions,interceptionsOpponent,kickReturnTDs,kickReturnTDsOpponent,kickReturnYards,kickReturnYardsOpponent,kickReturns,kickReturnsOpponent,netPassingYards,netPassingYardsOpponent,passAttempts,passAttemptsOpponent,passCompletions,passCompletionsOpponent,passesIntercepted,passesInterceptedOpponent,passingTDs,passingTDsOpponent,penalties,penaltiesOpponent,penaltyYards,penaltyYardsOpponent,possessionTime,possessionTimeOpponent,puntReturnTDs,puntReturnTDsOpponent,puntReturnYards,puntReturnYardsOpponent,puntReturns,puntReturnsOpponent,rushingAttempts,rushingAttemptsOpponent,rushingTDs,rushingTDsOpponent,rushingYards,rushingYardsOpponent,sacks,sacksOpponent,tacklesForLoss,tacklesForLossOpponent,thirdDownConversions,thirdDownConversionsOpponent,thirdDowns,thirdDownsOpponent,totalYards,totalYardsOpponent,turnovers,turnoversOpponent
2025,Florida,SEC,228,233,8,13,19,20,4,7,7,4,12,0,1,110,217,14,10,0,0,209,170,15,9,2455,2675,374,334,234,214,10,14,18,13,61,74,524,593,21441,21759,0,0,146,49,13,7,384,458,10,21,1641,1858,25,20,60,61,52,74,151,169,4096,4533,18,17
2025,Florida Atlantic,American Athletic,297,275,41,18,62,31,9,5,5,9,12,0,1,28,172,20,3,0,0,686,301,31,16,4086,2822,581,370,384,238,3,20,28,20,79,90,672,805,20553,22647,2,0,304,107,16,9,354,507,13,35,1262,2412,22,21,65,72,70,84,190,185,5348,5234,29,8
2025,Florida International,Conference USA,268,273,19,14,39,33,8,9,9,8,13,0,0,161,33,13,12,0,0,557,881,28,44,2800,3256,429,458,257,278,12,13,20,26,85,81,722,762,24666,22134,1,2,204,173,17,21,485,446,26,20,2361,2101,30,23,69,70,69,72,193,182,5161,5357,21,21
2025,Florida State,ACC,289,223,17,18,30,27,10,2,2,10,12,0,0,149,175,9,12,0,0,254,34,12,4,3041,2289,339,326,200,203,12,9,20,20,65,76,544,642,20708,22492,0,0,139,27,12,3,505,460,31,12,2626,1660,31,24,73,59,80,66,158,172,5667,3949,19,14
2025,Fresno State,Mountain West,246,214,9,11,21,22,7,5,6,7,13,2,2,232,191,13,20,0,0,464,418,22,26,2384,1998,373,369,239,198,20,13,14,18,86,90,788,792,25211,21588,1,0,181,24,22,8,482,420,22,9,2219,1738,24,19,67,71,64,63,176,175,4603,3736,20,25
2025,Georgia,SEC,339,227,15,10,20,23,6,4,4,6,14,0,0,30,114,7,9,0,0,211,179,11,13,3083,3031,417,458,287,279,9,7,25,14,64,78,609,622,28289,22111,0,0,243,29,22,6,576,387,31,14,2553,1142,19,18,58,79,79,65,182,185,5636,4173,13,13
2025,Georgia Southern,Sun Belt,287,324,9,9,16,20,4,7,7,4,13,0,1,29,128,9,12,1,2,838,898,38,36,3211,3123,431,415,273,264,12,9,26,15,69,88,655,734,23019,23781,0,0,73,109,11,15,461,496,18,35,2019,2848,12,29,60,66,80,77,179,167,5230,5971,13,19
2025,Georgia State,Sun Belt,235,282,15,12,34,20,6,3,3,6,12,0,1,48,104,11,3,0,0,510,200,29,7,3053,2889,475,340,288,219,3,11,22,25,103,71,815,639,21730,21470,0,1,10,357,8,24,366,491,9,31,1485,2515,18,19,58,62,68,76,176,162,4538,5404,17,6
2025,Georgia Tech,ACC,304,275,7,15,16,23,8,5,5,7,13,0,1,57,110,7,4,0,0,334,221,20,13,3413,3053,394,407,275,253,4,7,16,19,78,81,614,720,22662,24141,0,0,153,109,15,11,462,465,31,21,2569,2140,27,10,63,58,71,71,154,177,5982,5193,15,9
2025,Hawai'i,Mountain West,266,251,12,8,20,24,5,7,7,6,13,2,3,134,287,12,8,1,0,366,684,15,36,3778,2953,540,394,350,234,8,12,30,15,100,90,855,830,24923,21871,0,1,77,249,12,16,365,415,8,19,1361,1748,29,30,62,58,89,57,198,158,5139,4701,17,15
