gameId,season,week,team,opponent,offense_passingPlays_explosiveness,offense_passingPlays_successRate,offense_passingPlays_totalPPA,offense_passingPlays_ppa,offense_rushingPlays_explosiveness,offense_rushingPlays_successRate,offense_rushingPlays_totalPPA,offense_rushingPlays_ppa,offense_passingDowns_explosiveness,offense_passingDowns_successRate,offense_passingDowns_ppa,offense_standardDowns_explosiveness,offense_standardDowns_successRate,offense_standardDowns_ppa,offense_openFieldYardsTotal,offense_openFieldYards,offense_secondLevelYardsTotal,offense_secondLevelYards,offense_lineYardsTotal,offense_lineYards,offense_stuffRate,offense_powerSuccess,offense_explosiveness,offense_successRate,offense_totalPPA,offense_ppa,offense_drives,offense_plays,defense_passingPlays_explosiveness,defense_passingPlays_successRate,defense_passingPlays_totalPPA,defense_passingPlays_ppa,defense_rushingPlays_explosiveness,defense_rushingPlays_successRate,defense_rushingPlays_totalPPA,defense_rushingPlays_ppa,defense_passingDowns_explosiveness,defense_passingDowns_successRate,defense_passingDowns_ppa,defense_standardDowns_explosiveness,defense_standardDowns_successRate,defense_standardDowns_ppa,defense_openFieldYardsTotal,defense_openFieldYards,defense_secondLevelYardsTotal,defense_secondLevelYards,defense_lineYardsTotal,defense_lineYards,defense_stuffRate,defense_powerSuccess,defense_explosiveness,defense_successRate,defense_totalPPA,defense_ppa,defense_drives,defense_plays
401752665,2025,1,Alabama,Florida State,1.7914944156603918,0.37777777777777777,7.147391090589476,0.15883091312421058,0.6438820226802321,0.37037037037037035,0.06879240117875428,0.0025478667103242324,2.58184953568559,0.2692307692307692,0.21990557427819712,0.9410639271614925,0.43478260869565216,0.03257909914206751,6,0.2222222222222222,24,0.8888888888888888,90,3.3296296296296295,0.18518518518518517,0.6666666666666666,1.366452788630703,0.375,7.216183491768231,0.10022477071900321,10,72,2.811930290409391,0.26666666666666666,5.373438123599867,0.35822920823999116,1.3806075551316235,0.4166666666666667,12.900129445183383,0.2687526967746538,2.4983407243130604,0.3,0.47505488974233495,1.3261015510217593,0.4186046511627907,0.20401092497526863,63,1.3125,50,1.0416666666666667,153,3.191666666666667,0.16666666666666666,0.75,1.6191613443445847,0.38095238095238093,18.27356756878325,0.2900566280759246,10,63
401752665,2025,1,Florida State,Alabama,2.811930290409391,0.26666666666666666,5.373438123599867,0.35822920823999116,1.3806075551316235,0.4166666666666667,12.900129445183383,0.2687526967746538,2.4983407243130604,0.3,0.47505488974233495,1.3261015510217593,0.4186046511627907,0.20401092497526863,63,1.3125,50,1.0416666666666667,153,3.191666666666667,0.16666666666666666,0.75,1.6191613443445847,0.38095238095238093,18.27356756878325,0.2900566280759246,10,63,1.7914944156603918,0.37777777777777777,7.147391090589476,0.15883091312421058,0.6438820226802321,0.37037037037037035,0.06879240117875428,0.0025478667103242324,2.58184953568559,0.2692307692307692,0.21990557427819712,0.9410639271614925,0.43478260869565216,0.03257909914206751,6,0.2222222222222222,24,0.8888888888888888,90,3.3296296296296295,0.18518518518518517,0.6666666666666666,1.366452788630703,0.375,7.216183491768231,0.10022477071900321,10,72
401752666,2025,1,Alabama A&M,Arkansas,1.5107991988064016,0.3333333333333333,5.7488824556032965,0.19162941518677654,0.720423127031248,0.4,-2.966708497923748,-0.11866833991694993,1.5354346261852296,0.25,0.08383535818613357,0.9756700084966898,0.42857142857142855,0.03158476554162505,11,0.44,24,0.96,42,1.66,0.28,0.5,1.1156111629188248,0.36363636363636365,2.782173957679548,0.05058498104871906,12,55,1.8324650848041675,0.5789473684210527,29.456145216009457,0.7751617162107752,0.8888926904206254,0.40540540540540543,1.083516963557704,0.029284242258316325,2.6452466795639396,0.375,0.6509001715902955,1.0657286466402003,0.5490196078431373,0.29251094238039355,47,1.2702702702702704,42,1.135135135135135,114,3.0675675675675675,0.16216216216216217,1.0,1.4499357357297586,0.49333333333333335,30.539662179567163,0.40719549572756214,13,75
401752666,2025,1,Arkansas,Alabama A&M,1.8324650848041675,0.5789473684210527,29.456145216009457,0.7751617162107752,0.8888926904206254,0.40540540540540543,1.083516963557704,0.029284242258316325,2.6452466795639396,0.375,0.6509001715902955,1.0657286466402003,0.5490196078431373,0.29251094238039355,47,1.2702702702702704,42,1.135135135135135,114,3.0675675675675675,0.16216216216216217,1.0,1.4499357357297586,0.49333333333333335,30.539662179567163,0.40719549572756214,13,75,1.5107991988064016,0.3333333333333333,5.7488824556032965,0.19162941518677654,0.720423127031248,0.4,-2.966708497923748,-0.11866833991694993,1.5354346261852296,0.25,0.08383535818613357,0.9756700084966898,0.42857142857142855,0.03158476554162505,11,0.44,24,0.96,42,1.66,0.28,0.5,1.1156111629188248,0.36363636363636365,2.782173957679548,0.05058498104871906,12,55
401752667,2025,1,Auburn,Baylor,1.1264925142908047,0.5294117647058824,6.247013848390275,0.36747140284648677,0.8198233917119092,0.5660377358490566,13.970100082385292,0.26358679400726964,2.2831744382027535,0.2727272727272727,0.46674247517620504,0.7745447518157295,0.6101694915254238,0.25564316447181884,51,0.9622641509433962,71,1.339622641509434,195,3.6849056603773587,0.09433962264150944,1.0,0.8905931892301159,0.5571428571428572,20.217113930775568,0.28881591329679385,9,70,2.1243071919167713,0.40384615384615385,20.815132274242515,0.4002910052738945,1.0369338076285204,0.3157894736842105,0.7036114703659329,0.037032182650838574,2.586845776567376,0.4074074074074074,0.8486640095389877,1.3985468958613865,0.36363636363636365,-0.03170873893055046,17,0.8947368421052632,16,0.8421052631578947,54,2.8157894736842106,0.21052631578947367,1.0,1.8826686620749378,0.38028169014084506,21.518743744608447,0.3030808978113866,10,71
401752667,2025,1,Baylor,Auburn,2.1243071919167713,0.40384615384615385,20.815132274242515,0.4002910052738945,1.0369338076285204,0.3157894736842105,0.7036114703659329,0.037032182650838574,2.586845776567376,0.4074074074074074,0.8486640095389877,1.3985468958613865,0.36363636363636365,-0.03170873893055046,17,0.8947368421052632,16,0.8421052631578947,54,2.8157894736842106,0.21052631578947367,1.0,1.8826686620749378,0.38028169014084506,21.518743744608447,0.3030808978113866,10,71,1.1264925142908047,0.5294117647058824,6.247013848390275,0.36747140284648677,0.8198233917119092,0.5660377358490566,13.970100082385292,0.26358679400726964,2.2831744382027535,0.2727272727272727,0.46674247517620504,0.7745447518157295,0.6101694915254238,0.25564316447181884,51,0.9622641509433962,71,1.339622641509434,195,3.6849056603773587,0.09433962264150944,1.0,0.8905931892301159,0.5571428571428572,20.217113930775568,0.28881591329679385,9,70
401752668,2025,1,Florida,Long Island University,1.5962885204214547,0.4722222222222222,13.818465294496258,0.3838462581804516,0.914825697178034,0.631578947368421,12.68351883034094,0.33377681132476156,1.9757461900799367,0.4444444444444444,0.5081096793095893,1.0086894563272137,0.5892857142857143,0.3099287481654391,84,2.210526315789474,55,1.4473684210526316,128,3.373684210526316,0.21052631578947367,0.75,1.1973834531570133,0.5540540540540541,26.501984124837197,0.35813492060590807,12,74,3.456518396544947,0.09090909090909091,-3.3603508536967395,-0.30548644124515817,0.2732503418991818,0.125,-16.493265531629504,-0.515414547863422,3.456518396544947,0.047619047619047616,-0.002200244755386404,0.2732503418991818,0.18181818181818182,-0.9003368747937787,27,0.84375,6,0.1875,35,1.08125,0.34375,0.0,0.9099039528283348,0.11627906976744186,-19.853616385326244,-0.46171200896107545,14,43
401752668,2025,1,Long Island University,Florida,3.456518396544947,0.09090909090909091,-3.3603508536967395,-0.30548644124515817,0.2732503418991818,0.125,-16.493265531629504,-0.515414547863422,3.456518396544947,0.047619047619047616,-0.002200244755386404,0.2732503418991818,0.18181818181818182,-0.9003368747937787,27,0.84375,6,0.1875,35,1.08125,0.34375,0.0,0.9099039528283348,0.11627906976744186,-19.853616385326244,-0.46171200896107545,14,43,1.5962885204214547,0.4722222222222222,13.818465294496258,0.3838462581804516,0.914825697178034,0.631578947368421,12.68351883034094,0.33377681132476156,1.9757461900799367,0.4444444444444444,0.5081096793095893,1.0086894563272137,0.5892857142857143,0.3099287481654391,84,2.210526315789474,55,1.4473684210526316,128,3.373684210526316,0.21052631578947367,0.75,1.1973834531570133,0.5540540540540541,26.501984124837197,0.35813492060590807,12,74
401752669,2025,1,Georgia,Marshall,1.5960905387802655,0.5,16.007371110925707,0.5002303472164283,1.0525193213463755,0.5,12.901777687100846,0.2932222201613829,1.5410738395742238,0.2727272727272727,0.15678374081066482,1.232700957895599,0.5925925925925926,0.4714797500035542,37,0.8409090909090909,61,1.3863636363636365,159,3.606818181818182,0.11363636363636363,0.8,1.281391412897487,0.5,28.909148798026553,0.38038353681613885,13,76,2.183592119699527,0.25,4.9934429874426725,0.2496721493721336,0.5415780045458767,0.25806451612903225,-4.96182413411704,-0.16005884303603354,2.161916852100569,0.2,0.19991442711005933,0.7336574696069305,0.2903225806451613,-0.1279570867379211,1,0.03225806451612903,20,0.6451612903225806,61,1.9645161290322581,0.41935483870967744,0.5,1.1731218949895885,0.2549019607843137,0.03161885332563211,0.0006199775161888648,14,51
401752669,2025,1,Marshall,Georgia,2.183592119699527,0.25,4.9934429874426725,0.2496721493721336,0.5415780045458767,0.25806451612903225,-4.96182413411704,-0.16005884303603354,2.161916852100569,0.2,0.19991442711005933,0.7336574696069305,0.2903225806451613,-0.1279570867379211,1,0.03225806451612903,20,0.6451612903225806,61,1.9645161290322581,0.41935483870967744,0.5,1.1731218949895885,0.2549019607843137,0.03161885332563211,0.0006199775161888648,14,51,1.5960905387802655,0.5,16.007371110925707,0.5002303472164283,1.0525193213463755,0.5,12.901777687100846,0.2932222201613829,1.5410738395742238,0.2727272727272727,0.15678374081066482,1.232700957895599,0.5925925925925926,0.4714797500035542,37,0.8409090909090909,61,1.3863636363636365,159,3.606818181818182,0.11363636363636363,0.8,1.281391412897487,0.5,28.909148798026553,0.38038353681613885,13,76
401752670,2025,1,Kentucky,Toledo,1.7105739877759565,0.25,-1.584175685175613,-0.07920878425878065,0.8111137111541223,0.6190476190476191,11.897757235457044,0.28327993417754865,2.4184722884249505,0.14285714285714285,-0.14219364328229794,0.8553407535185195,0.58,0.166498107789672,88,2.0952380952380953,27,0.6428571428571429,132,3.1333333333333333,0.14285714285714285,0.8,0.9561879493189344,0.484375,6.334194383531429,0.09897178724267858,13,64,1.7042307581871583,0.38461538461538464,11.82635285465944,0.3032398167861395,0.7278361820317926,0.21428571428571427,-9.186891744619507,-0.3281032765935538,1.8070053638105006,0.2692307692307692,0.2643030442236479,1.2343886370231876,0.3333333333333333,-0.09805955969416498,2,0.07142857142857142,16,0.5714285714285714,41,1.475,0.21428571428571427,0.3333333333333333,1.4252608792856252,0.3088235294117647,2.7533776426599172,0.04049084768617525,13,68
